_label,group,summary_count,summary_pruned_count,duration_ms_avg,duration_ms_max,traversed_avg,pruned_avg,commit_count_avg,avg_ops_avg,avg_bytes_avg,avg_commit_ms_avg,max_ops_max,max_bytes_max,max_commit_ms_max,config_lock_max_ms,config_batch_max_ms,config_batch_max_ops,config_batch_max_bytes,config_batch_max_blocks,config_batch_bodies,_file
reach-lock5-10bps,reach-batched (no bodies),228,156,148.06578947368422,398.0,148.87719298245614,136.7017543859649,92.56770833333333,233.87677083333332,12218.712786458333,0.16471093750000002,1963.0,96700.0,4.764,5,10,50000,4194304,256,0,simpa-prune-reach-lock5-bps10-20260114-015440.csv
reach-maxblocks15-10bps,reach-batched (no bodies),228,152,153.60087719298247,329.0,144.26315789473685,133.2280701754386,91.7890625,130.43794270833334,7443.266640625,0.09634375,540.0,37191.0,2.931,25,50,50000,4194304,15,0,simpa-prune-reach-maxblocks15-bps10-20260114-013923.csv
reach-maxbytes1m-10bps,reach-batched (no bodies),228,156,154.71929824561403,364.0,151.6140350877193,136.66666666666666,91.24739583333333,923.304296875,45068.863515625,0.5593333333333333,3806.0,182883.0,4.661,25,50,50000,1048576,256,0,simpa-prune-reach-maxbytes1m-bps10-20260114-010901.csv
reach-lock10-10bps,reach-batched (no bodies),228,156,157.4780701754386,355.0,151.35087719298247,136.59649122807016,91.8828125,451.09846354166666,22793.571380208334,0.2968984375,2854.0,140385.0,9.174,10,20,50000,4194304,256,0,simpa-prune-reach-lock10-bps10-20260114-020949.csv
control-bps10,full-batch (bodies+headers),228,152,158.05701754385964,350.0,149.31578947368422,136.4561403508772,1.4035087719298245,2367.3441228070174,108522.32315789473,1.40290350877193,5149.0,236293.0,5.324,25,50,50000,4194304,256,1,simpa-prune-control-bps10-20260113-235204.csv
maxops50k-10bps,full-batch (bodies+headers),228,152,159.5482456140351,290.0,150.33333333333334,136.73684210526315,1.4078947368421053,2112.4152192982456,97216.44368421052,1.2547850877192983,5463.0,251286.0,6.79,25,50,50000,4194304,256,1,simpa-prune-maxops50k-bps10-20260114-003820.csv
reach-lock15-10bps,reach-batched (no bodies),228,148,163.71929824561403,365.0,151.12280701754386,136.52631578947367,91.82894736842105,687.3897631578947,34218.64186842105,0.43748947368421054,3956.0,190793.0,4.683,15,30,50000,4194304,256,0,simpa-prune-reach-lock15-bps10-20260114-022452.csv
maxblocks128-10bps,full-batch (bodies+headers),228,156,164.53070175438597,421.0,149.56140350877192,136.49122807017545,2.1008771929824563,1371.2108333333333,64242.763815789476,0.8356184210526315,2927.0,143877.0,3.569,25,50,50000,4194304,128,1,simpa-prune-maxblocks128-bps10-20260114-002313.csv
maxblocks64-10bps,full-batch (bodies+headers),228,156,186.15350877192984,366.0,154.78947368421052,136.3684210526316,3.3026315789473686,788.4560087719299,38158.85684210526,0.49163596491228073,1776.0,92598.0,2.077,25,50,50000,4194304,64,1,simpa-prune-maxblocks64-bps10-20260114-005333.csv
reach-maxblocks10-10bps,reach-batched (no bodies),228,148,189.82456140350877,388.0,152.89473684210526,136.28070175438597,101.32631578947368,98.022,5885.417815789474,0.08022894736842105,540.0,35777.0,2.615,25,50,50000,4194304,10,0,simpa-prune-reach-maxblocks10-bps10-20260114-012430.csv
reach-lock25-10bps,reach-batched (no bodies),228,156,202.9298245614035,421.0,153.33333333333334,136.56140350877192,92.11458333333333,976.2002604166668,47860.85703125,0.6042291666666667,3968.0,195776.0,8.329,25,50,50000,4194304,256,0,simpa-prune-reach-lock25-bps10-20260114-000751.csv
maxbytes4m,full-batch (bodies+headers),228,148,205.55263157894737,591.0,151.7719298245614,136.6140350877193,2.0657894736842106,1601.803640350877,74036.84635964912,1.363263157894737,5487.0,253968.0,12.473,25,50,50000,4194304,256,1,simpa-prune-maxbytes4m-bps10-20260114-172443.csv
reach-maxblocks128,reach-batched (no bodies),228,156,209.2017543859649,455.0,146.7017543859649,136.56140350877192,87.33762886597938,679.4197164948453,33671.62489690722,0.5671572164948453,2527.0,128944.0,4.81,25,50,50000,4194304,128,0,simpa-prune-reach-maxblocks128-bps10-20260114-192957.csv
maxops10k,full-batch (bodies+headers),228,152,210.7938596491228,660.0,144.3859649122807,133.26315789473685,1.8508771929824561,1587.8721052631581,74270.5894736842,1.270719298245614,4575.0,210159.0,14.674,25,50,10000,4194304,256,1,simpa-prune-maxops10k-bps10-20260114-151903.csv
maxbytes16m,full-batch (bodies+headers),228,156,214.89473684210526,549.0,149.17543859649123,136.3684210526316,2.043859649122807,1444.132543859649,67619.8650877193,1.2780877192982456,5470.0,253083.0,40.121,25,50,50000,16777216,256,1,simpa-prune-maxbytes16m-bps10-20260114-174412.csv
