source,kind,commit_type,count,avg_ops,max_ops,avg_bytes,max_bytes,avg_commit_ms,max_commit_ms,duration_ms,traversed,pruned,lock_hold_ms,lock_yields,lock_reacquires
pruning-optimisation/baseline/experiments/simpa-prune-20251105-215446.log,summary,,,,,,,,,13,0,0,0,1,2
pruning-optimisation/baseline/experiments/simpa-prune-20251105-215446.log,commit,batched,1,1.00,1,48.00,48,0.005,0.005,,,,,,
pruning-optimisation/baseline/experiments/simpa-prune-20251105-215446.log,commit,ghostdag_adjust,1,0.00,0,12.00,12,0.004,0.004,,,,,,
pruning-optimisation/baseline/experiments/simpa-prune-20251105-215446.log,commit,tips_and_selected_chain,1,0.00,0,12.00,12,0.004,0.004,,,,,,
pruning-optimisation/baseline/experiments/simpa-prune-20251105-215446.log,summary,,,,,,,,,12,0,0,0,1,2
pruning-optimisation/baseline/experiments/simpa-prune-20251105-215446.log,commit,batched,1,1.00,1,48.00,48,0.005,0.005,,,,,,
pruning-optimisation/baseline/experiments/simpa-prune-20251105-215446.log,commit,ghostdag_adjust,1,0.00,0,12.00,12,0.004,0.004,,,,,,
pruning-optimisation/baseline/experiments/simpa-prune-20251105-215446.log,commit,tips_and_selected_chain,1,0.00,0,12.00,12,0.004,0.004,,,,,,
pruning-optimisation/baseline/experiments/simpa-prune-20251105-215446.log,summary,,,,,,,,,12,0,0,0,1,2
pruning-optimisation/baseline/experiments/simpa-prune-20251105-215446.log,commit,batched,1,1.00,1,48.00,48,0.004,0.004,,,,,,
pruning-optimisation/baseline/experiments/simpa-prune-20251105-215446.log,commit,ghostdag_adjust,1,0.00,0,12.00,12,0.005,0.005,,,,,,
pruning-optimisation/baseline/experiments/simpa-prune-20251105-215446.log,commit,tips_and_selected_chain,1,1.00,1,47.00,47,0.004,0.004,,,,,,
pruning-optimisation/baseline/experiments/simpa-prune-20251105-215446.log,summary,,,,,,,,,10,0,0,0,1,2
pruning-optimisation/baseline/experiments/simpa-prune-20251105-215446.log,commit,batched,1,1.00,1,48.00,48,0.004,0.004,,,,,,
pruning-optimisation/baseline/experiments/simpa-prune-20251105-215446.log,commit,ghostdag_adjust,1,0.00,0,12.00,12,0.004,0.004,,,,,,
pruning-optimisation/baseline/experiments/simpa-prune-20251105-215446.log,commit,tips_and_selected_chain,1,0.00,0,12.00,12,0.003,0.003,,,,,,
pruning-optimisation/baseline/experiments/simpa-prune-20251105-215446.log,summary,,,,,,,,,10,0,0,0,1,2
pruning-optimisation/baseline/experiments/simpa-prune-20251105-215446.log,commit,batched,1,1.00,1,48.00,48,0.005,0.005,,,,,,
pruning-optimisation/baseline/experiments/simpa-prune-20251105-215446.log,commit,ghostdag_adjust,1,0.00,0,12.00,12,0.004,0.004,,,,,,
pruning-optimisation/baseline/experiments/simpa-prune-20251105-215446.log,commit,tips_and_selected_chain,1,1.00,1,47.00,47,0.004,0.004,,,,,,
